Veli Räsänen	BOT	Veli Räsänen
Vellingiri  Ravichandran	BOT	Vellingiri  Ravichandran
Vellingiri Vijayanthi	BOT	Vellingiri Vijayanthi
Velliyur Nott Mallikarjuna Rao	BOT	Velliyur Nott Mallikarjuna Rao
Vello Jaaska	BOT	Vello Jaaska
Vello Liiv	BOT	Vello Liiv
Vellore Somasundaram Sundaralingam	BOT	Vellore Somasundaram Sundaralingam
Velukutty Jayachandran Nair	BOT	Velukutty Jayachandran Nair
Velusamy Balasubramaniam	BOT	Velusamy Balasubramaniam
Velva Elaine Rudd	BOT	Velva Elaine Rudd
Vemuri Venkateswara Sarma	BOT	Vemuri Venkateswara Sarma
Venance Payot	BOT	Venance Payot
Venancio Vanoye	BOT	Venancio Vanoye
Venedikt Khakhlov	BOT	Venedikt Khakhlov
Venetsano Kouyeas	BOT	Venetsano Kouyeas
Veniamin Mikhailovich Pushkarev	BOT	Veniamin Mikhailovich Pushkarev
Veniamin Pavlovich Bozhenko	BOT	Veniamin Pavlovich Bozhenko
Veniamin Sergeevich Bakhtin	BOT	Veniamin Sergeevich Bakhtin
Venkatachalam Sampath Kumar	BOT	Venkatachalam Sampath Kumar
Venkataramanan Lakshmanan	BOT	Venkataramanan Lakshmanan
Venkataswami Ramakrishnan	BOT	Venkataswami Ramakrishnan
Venkatesan Sundaresan	BOT	Venkatesan Sundaresan
Venugopalan Nair Saradamma Anil Kumar	BOT	Venugopalan Nair Saradamma Anil Kumar
Venus Palting	BOT	Venus Palting
Venus W. Pool	BOT	Venus W. Pool
Venício Oliveira de Moraes Júnior	BOT	Venício Oliveira de Moraes Júnior
Vera A.Mentzer Miller	BOT	Vera A.Mentzer Miller
Vera Alexandrovna Belyaeva	BOT	Vera Alexandrovna Belyaeva
Vera Andjic	BOT	Vera Andjic
Vera Bilaĭ	BOT	Vera Bilaĭ
Vera Bontea	BOT	Vera Bontea
Vera Buschueva	BOT	Vera Buschueva
Vera Csapody	BOT	Vera Csapody
Vera Fedorovna Malysheva	BOT	Vera Fedorovna Malysheva
Vera Fedorovna Novinskaja	BOT	Vera Fedorovna Novinskaja
Vera Filippovna Golubkova	BOT	Vera Filippovna Golubkova
Vera Gromova	BOT	Vera Gromova
Vera Higgins	BOT	Vera Higgins
Vera Ivanovna Iljina	BOT	Vera Ivanovna Iljina
Vera Ivanovna Serpukhova	BOT	Vera Ivanovna Serpukhova
Vera Izrailevna Vassilevskaja	BOT	Vera Izrailevna Vassilevskaja
Vera Katharine Charles	BOT	Vera Katharine Charles
Vera Kondratievna Pazij	BOT	Vera Kondratievna Pazij
Vera Leontievna Nekrassova	BOT	Vera Leontievna Nekrassova
Vera Lúcia Gomes-Klein	BOT	Vera Lúcia Gomes-Klein
Vera Lúcia Ramos Bononi	BOT	Vera Lúcia Ramos Bononi
Vera Matveevna Kotkova	BOT	Vera Matveevna Kotkova
Vera Mikhailovna Andreyeva	BOT	Vera Mikhailovna Andreyeva
Vera Mikhailovna Safjanova	BOT	Vera Mikhailovna Safjanova
Vera Nikolaevna Bondartseva-Monteverde	BOT	Vera Nikolaevna Bondartseva-Monteverde
Vera Nikolaevna Dimitrova	BOT	Vera Nikolaevna Dimitrova
Vera P. Hayova	BOT	Vera P. Hayova
Vera P. Mentzer	BOT	Vera P. Mentzer
Vera Pospelova	BOT	Vera Pospelova
Vera Salmi	BOT	Vera Salmi
Vera Stucky Evenson	BOT	Vera Stucky Evenson
Vera Tai	BOT	Vera Tai
Vera V. Protopopova	BOT	Vera V. Protopopova
Vera Viktorovna Botschantzeva	BOT	Vera Viktorovna Botschantzeva
Vera Vinogradova	BOT	Vera Vinogradova
Vera Zapryagaeva	BOT	Vera Zapryagaeva
Verena Blanke	BOT	Verena Blanke
Veridiana Vizoni Scudeller	BOT	Veridiana Vizoni Scudeller
Veriendranath P. Kaul	BOT	Veriendranath P. Kaul
Verlande D. Silveira	BOT	Verlande D. Silveira
Verma Rajendra Sitholey	BOT	Verma Rajendra Sitholey
Vern Bonham Stewart	BOT	Vern Bonham Stewart
Verne Grant	BOT	Verne Grant
Verner Hawsbrook Rowland	BOT	Verner Hawsbrook Rowland
Verner Michelsen	ZOO	Verner Michelsen	Michelsen
Vernet	BOT	Vernet
Vernie G. Sagun	BOT	Vernie G. Sagun
Vernon A. Harris	ZOO	Vernon A. Harris
Vernon Herbert Blackman	BOT	Vernon Herbert Blackman
Vernon Heywood	BOT	Vernon Heywood
Vernon Lyman Kellogg	BOT	Vernon Lyman Kellogg
Vernon M. Marttala	BOT	Vernon M. Marttala
Vernon Orlando Bailey	ZOO	Vernon Orlando Bailey
Vernon Victor Hickman	ZOO	Vernon Victor Hickman	Hickman
Vernon Willard Proctor	BOT	Vernon Willard Proctor
Verona O. Parkinson	BOT	Verona O. Parkinson
Veronica Samion Guanih	BOT	Veronica Samion Guanih
Veronica Tarbaeva	BOT	Veronica Tarbaeva
Veronica Tudosescu-Bǎnescu	BOT	Veronica Tudosescu-Bǎnescu
Veronicah Mutele Ngumbau	BOT	Veronicah Mutele Ngumbau
Veronika B. Bagmet	BOT	Veronika B. Bagmet
Veronika Dollhofer	BOT	Veronika Dollhofer
Veronika Georgievna Lepechina	BOT	Veronika Georgievna Lepechina
Veronika Mayer	BOT	Veronika Mayer
Veronika Vasilievna Sauer	BOT	Veronika Vasilievna Sauer
Veronika Řezáčová	ZOO	Veronika Řezáčová	Řezáčová
Veronique Messe	BOT	Veronique Messe
Very	BOT	Very
Verónica Juárez-Jaimes	BOT	Verónica Juárez-Jaimes
Verónica L. Suárez	BOT	Verónica L. Suárez
Verónica L. Urgilés	ZOO	Verónica L. Urgilés	Urgilés
Verônica Thode	BOT	Verônica Thode
Vesna Karaman-Castro	BOT	Vesna Karaman-Castro
Vesta Marie Newsom	BOT	Vesta Marie Newsom
Veturia Lopes de Oliveira	BOT	Veturia Lopes de Oliveira
Viacheslav Anatolyevich Spirin	BOT	Viacheslav Anatolyevich Spirin
Viacheslav Shalisko	BOT	Viacheslav Shalisko
Vibna Chauhan	BOT	Vibna Chauhan
Vicent Calatayud	BOT	Vicent Calatayud
Vicenta de la Fuente García	BOT	Vicenta de la Fuente García
Vicente	BOT	Vicente
Vicente Cervantes	BOT	Vicente Cervantes
Vicente Cutanda y Jarauta	BOT	Vicente Cutanda y Jarauta
Vicente González	BOT	Vicente González
Vicente Jesús Arán Redó	BOT	Vicente Jesús Arán Redó
Vicente Marcano	BOT	Vicente Marcano
Vicente Martín de Argenta	BOT	Vicente Martín de Argenta
Vicente Mata-Silva	ZOO	Vicente Mata-Silva	Mata-Silva
Vicente Mazimpaka	BOT	Vicente Mazimpaka
Vicente Rodriguez Gracia	BOT	Vicente Rodriguez Gracia
Vicenzo Ottaviani	BOT	Vicenzo Ottaviani
Vichai Puripunyavanich	BOT	Vichai Puripunyavanich
Vichith Lamxay	BOT	Vichith Lamxay
Vicki Ann Funk	BOT	Vicki Ann Funk
Vicki M. Baum	BOT	Vicki M. Baum
Vicotin	BOT	Vicotin
Victor A. Rigoni	BOT	Victor A. Rigoni
Victor Abraham Ringier	BOT	Victor Abraham Ringier
Victor Anthony Albert	BOT	Victor Anthony Albert
Victor Augustin Dupain	BOT	Victor Augustin Dupain
Victor B. Amoroso	BOT	Victor B. Amoroso
Victor Bacaran	BOT	Victor Bacaran
Victor Bally	BOT	Victor Bally
Victor Battetta	BOT	Victor Battetta
Victor Borisovich Sochava	BOT	Victor Borisovich Sochava
Victor Botchantsev	BOT	Victor Botchantsev
Victor C. Twitty	ZOO	Victor C. Twitty	Twitty
Victor Cayla	BOT	Victor Cayla
Victor Constant Reboud	BOT	Victor Constant Reboud
Victor Davalos	BOT	Victor Davalos
Victor Demange	BOT	Victor Demange
Victor Fatio	ZOO	Victor Fatio	Fatio
Victor Felix Raulin	BOT	Victor Felix Raulin
Victor Ferdinand Tapke	BOT	Victor Ferdinand Tapke
Victor Fursov	ZOO	Victor Fursov	Fursov
Victor G. Soukup	BOT	Victor G. Soukup
Victor Gapon	BOT	Victor Gapon
Victor Gershon Duran	BOT	Victor Gershon Duran
Victor Girard	BOT	Victor Girard
Victor Gomez-Reyes	BOT	Victor Gomez-Reyes
Victor Guibert	BOT	Victor Guibert
Victor Gurner Logan van Someren	ZOO	Victor Gurner Logan van Someren	Someren
Victor Ivanovich Parfenov	BOT	Victor Ivanovich Parfenov
Victor Jacquemont	BOT	Victor Jacquemont
Victor Jaramillo	BOT	Victor Jaramillo
Victor Jollos	BOT	Victor Jollos
Victor Kimpouni	BOT	Victor Kimpouni
Victor L. Finot	BOT	Victor L. Finot
Victor Lallemand	ZOO	Victor Lallemand	Lallemand
Victor Lemoine	BOT	Victor Lemoine
Victor Leroy	BOT	Victor Leroy
Victor Loche	ZOO	Victor Loche	Loche
Victor Loret	BOT	Victor Loret
Victor M. Bandala	BOT	Victor M. Bandala
Victor M. Redondo	ZOO	Victor M. Redondo
Victor Macomber Cutter	BOT	Victor Macomber Cutter
Victor Manuel Baeza	BOT	Victor Manuel Baeza
Victor Manuel Pardo-Cardona	BOT	Victor Manuel Pardo-Cardona
Victor Martins Gonçalez	BOT	Victor Martins Gonçalez
Victor Montelongo	BOT	Victor Montelongo
Victor Motschulsky	ZOO	Victor Motschulsky	Motschulsky
Victor Mourgues Schurter	BOT	Victor Mourgues Schurter
Victor Mouton	BOT	Victor Mouton
Victor Mukhin	BOT	Victor Mukhin
Victor Pavlovich Solyanikov	ZOO	Victor Pavlovich Solyanikov	Solyanikov
Victor Personnat	BOT	Victor Personnat
Victor Pierre Ghislain De Moor	BOT	Victor Pierre Ghislain De Moor
Victor Pulliat	BOT	Victor Pulliat
Victor Quipuscoa	BOT	Victor Quipuscoa
Victor R. Townsend Jr.	ZOO	Victor R. Townsend Jr.
Victor Rafael Matos Coimbra	BOT	Victor Rafael Matos Coimbra
Victor Ramón Fuentes Fiallo	BOT	Victor Ramón Fuentes Fiallo
Victor S. Engel	BOT	Victor S. Engel
Victor Schiffner	BOT	Victor Schiffner
Victor Silva	BOT	Victor Silva
Victor Sprague	BOT	Victor Sprague
Victor Stiller	ZOO	Victor Stiller
Victor Thiollière	BOT	Victor Thiollière
Victor Tyshchenko	ZOO	Victor Tyshchenko	Tyshchenko
Victor Vermorel	BOT	Victor Vermorel
Victor Vladimirovich Chepinoga	BOT	Victor Vladimirovich Chepinoga
Victor W. Steinmann	BOT	Victor W. Steinmann
Victor Wilhelm Lindauer	BOT	Victor Wilhelm Lindauer
Victor William Montgomery Vignal	BOT	Victor William Montgomery Vignal
Victor Zotov	BOT	Victor Zotov
Victoria A. Stoelzel	BOT	Victoria A. Stoelzel
Victoria Anne Wassell Graham	BOT	Victoria Anne Wassell Graham
Victoria Anne Wassell Smith	BOT	Victoria Anne Wassell Smith
Victoria Ayala-Escobar	BOT	Victoria Ayala-Escobar
Victoria B. Mendiola	BOT	Victoria B. Mendiola
Victoria C. Hollowell	BOT	Victoria C. Hollowell
Victoria Cavara	BOT	Victoria Cavara
Victoria E. Barney	BOT	Victoria E. Barney
Victoria Eugenia Martín Osorio	BOT	Victoria Eugenia Martín Osorio
Victoria Fernandez-Gonzalez	ZOO	Victoria Fernandez-Gonzalez	Fernandez-Gonzalez
Victoria I. Sullivan	BOT	Victoria I. Sullivan
Victoria Rimarachín	BOT	Victoria Rimarachín
Victoria Sosa	BOT	Victoria Sosa
Victoria Stier	BOT	Victoria Stier
Victorine Chastenay	BOT	Victorine Chastenay
Victorino Vásquez-Martínez	BOT	Victorino Vásquez-Martínez
Vidal de Freitas Mansano	BOT	Vidal de Freitas Mansano
Vidya Laxmi Gurung	BOT	Vidya Laxmi Gurung
Viera Feráková	BOT	Viera Feráková
Viera Gašparíková	BOT	Viera Gašparíková
Viet Cuong Dang	BOT	Viet Cuong Dang
Viet Lam Le	BOT	Viet Lam Le
Viet-Hùng Nguyen	BOT	Viet-Hùng Nguyen
Viggo Albert Poulsen	BOT	Viggo Albert Poulsen
Viivi Virtanen	BOT	Viivi Virtanen
Vijay A. Paithane	BOT	Vijay A. Paithane
Vijay D. Ranade	BOT	Vijay D. Ranade
Vijay Kumar	BOT	Vijay Kumar
Vijay Kumar Mastakar	BOT	Vijay Kumar Mastakar
Vijay Patil	BOT	Vijay Patil
Vijay Pratap Singh	BOT	Vijay Pratap Singh
Vijay Pratap Tewari	BOT	Vijay Pratap Tewari
Vijay Thakur	BOT	Vijay Thakur
Vijay Veer	BOT	Vijay Veer
Vijay Wagh	BOT	Vijay Wagh
Vijayalakshmi Srinivasan	BOT	Vijayalakshmi Srinivasan
Vijayan Lalitha	BOT	Vijayan Lalitha
Vijendra Singh	BOT	Vijendra Singh
Vikas Kumar	ANY	Vikas Kumar
Viktor Alekseevich Timofeev	BOT	Viktor Alekseevich Timofeev
Viktor Apfelbeck	ZOO	Viktor Apfelbeck	Apfelbeck
Viktor Besedin	BOT	Viktor Besedin
Viktor Cypers von Landrecy	BOT	Viktor Cypers von Landrecy
Viktor Czurda	BOT	Viktor Czurda
Viktor Engler	BOT	Viktor Engler
Viktor Evgenievich Vassiljev	BOT	Viktor Evgenievich Vassiljev
Viktor Greschik	BOT	Viktor Greschik
Viktor Ivanovich Kasanowsky	BOT	Viktor Ivanovich Kasanowsky
Viktor Kerényi-Nagy	BOT	Viktor Kerényi-Nagy
Viktor Kučera	BOT	Viktor Kučera
Viktor Litschauer	BOT	Viktor Litschauer
Viktor Masing	BOT	Viktor Masing
Viktor Mühlenbach	BOT	Viktor Mühlenbach
Viktor Nachychko	BOT	Viktor Nachychko
Viktor Nikolaevich Lutshnik	ZOO	Viktor Nikolaevich Lutshnik	Lutshnik
Viktor Papp	BOT	Viktor Papp
Viktor Pietschmann	ZOO	Viktor Pietschmann	Pietschmann
Viktor Reverdatto	BOT	Viktor Reverdatto
Viktor Romualdovich Berg	BOT	Viktor Romualdovich Berg
Viktor Semenovich Emelin	BOT	Viktor Semenovich Emelin
Viktor Vasilyev	BOT	Viktor Vasilyev
Viktor Vsevolodovich Miller	BOT	Viktor Vsevolodovich Miller
Viktoria G. Korytnianska	BOT	Viktoria G. Korytnianska
Viktoria Ivanovna Mazkevich	BOT	Viktoria Ivanovna Mazkevich
Viktoria Vikentievna Meffert-Abramovich	BOT	Viktoria Vikentievna Meffert-Abramovich
Viktoriya Igorevna Troschkina	BOT	Viktoriya Igorevna Troschkina
Viktoriya Petlovana	BOT	Viktoriya Petlovana
Vilayanoor V. Ramamurthy	ZOO	Vilayanoor V. Ramamurthy	Ramamurthy
Vilhelm Dalgaard	BOT	Vilhelm Dalgaard
Vilhelm Peter Herlof Jensen	BOT	Vilhelm Peter Herlof Jensen
Vilhelm Storm	BOT	Vilhelm Storm
Viljo Kujala	BOT	Viljo Kujala
Viljo U.K. Erkamo	BOT	Viljo U.K. Erkamo
Villard	BOT	Villard
Villoo Patel	BOT	Villoo Patel
Villuvattathu Sreeraj	BOT	Villuvattathu Sreeraj
Vilma Gabriela Rosato	BOT	Vilma Gabriela Rosato
Vilma Kuusk	BOT	Vilma Kuusk
Vilmos Kőfaragó-Gyelnik	BOT	Vilmos Kőfaragó-Gyelnik
Vilmos Mátyás	BOT	Vilmos Mátyás
Vilotije Blečić	BOT	Vilotije Blečić
Vilém Dušan Lambl	BOT	Vilém Dušan Lambl
Vilém Zachleder	BOT	Vilém Zachleder
Vimal Waingankar	BOT	Vimal Waingankar
Vinay Kumar Pandey	BOT	Vinay Kumar Pandey
Vinay M. Raole	BOT	Vinay M. Raole
Vinay Ranjan	BOT	Vinay Ranjan
Vinay Sahu	BOT	Vinay Sahu
Vinayak Sardesai	BOT	Vinayak Sardesai
Vincas Urbonas	BOT	Vincas Urbonas
Vincent Athelstan Wager	BOT	Vincent Athelstan Wager
Vincent Boillat	BOT	Vincent Boillat
Vincent Boullet	BOT	Vincent Boullet
Vincent Carruthers	ZOO	Vincent Carruthers	Carruthers
Vincent Chmielevsky	BOT	Vincent Chmielevsky
Vincent Daniel Roth	BOT	Vincent Daniel Roth
Vincent Deblauwe	BOT	Vincent Deblauwe
Vincent Demoulin	BOT	Vincent Demoulin
Vincent Droissart	BOT	Vincent Droissart
Vincent Henri Mesplède	BOT	Vincent Henri Mesplède
Vincent Hugonnot	BOT	Vincent Hugonnot
Vincent J. Bellis	BOT	Vincent J. Bellis
Vincent Jones	BOT	Vincent Jones
Vincent L. Woo	BOT	Vincent L. Woo
Vincent Lebot	BOT	Vincent Lebot
Vincent P. Hustad	BOT	Vincent P. Hustad
Vincent Payrau	BOT	Vincent Payrau
Vincent Pelletier	BOT	Vincent Pelletier
Vincent Perrichot	BOT	Vincent Perrichot
Vincent Ralph Clark	BOT	Vincent Ralph Clark
Vincent Robert	BOT	Vincent Robert
Vincent S. F. T. Merckx	BOT	Vincent S. F. T. Merckx
Vincent Savolainen	BOT	Vincent Savolainen
Vincent Trunz	BOT	Vincent Trunz
Vincent William Jackson	BOT	Vincent William Jackson
Vincente Alfonso Lorente y Asensi	BOT	Vincente Alfonso Lorente y Asensi
Vincentius Josephus de Saint-Moulin	BOT	Vincentius Josephus de Saint-Moulin
Vincenz Aladár Richter	BOT	Vincenz Aladár Richter
Vincenz Franz Kosteletzky	BOT	Vincenz Franz Kosteletzky
Vincenz Fridolin Maiwald	BOT	Vincenz Fridolin Maiwald
Vincenz Kollar	ZOO	Vincenz Kollar	Kollar
Vincenz Lühne	BOT	Vincenz Lühne
Vincenzo Antignani	BOT	Vincenzo Antignani
Vincenzo Bertolini	BOT	Vincenzo Bertolini
Vincenzo Briganti	BOT	Vincenzo Briganti
Vincenzo Carmignani	BOT	Vincenzo Carmignani
Vincenzo Caroti	BOT	Vincenzo Caroti
Vincenzo Gonnelli	BOT	Vincenzo Gonnelli
Vincenzo Grasso	BOT	Vincenzo Grasso
Vincenzo Ilardi	BOT	Vincenzo Ilardi
Vincenzo La Valva	BOT	Vincenzo La Valva
Vincenzo Mancini	BOT	Vincenzo Mancini
Vincenzo Migliozzi	BOT	Vincenzo Migliozzi
Vincenzo Nam	BOT	Vincenzo Nam
Vincenzo Picci	BOT	Vincenzo Picci
Vincenzo Ricasoli	BOT	Vincenzo Ricasoli
Vincenzo Rivera	BOT	Vincenzo Rivera
Vincenzo Rodi	BOT	Vincenzo Rodi
Vincenzo Sette	BOT	Vincenzo Sette
Vincenzo Stellati	BOT	Vincenzo Stellati
Vincenzo Tenore	BOT	Vincenzo Tenore
Vincenzo Zuccarello	BOT	Vincenzo Zuccarello
Vindeshwari Prasad	BOT	Vindeshwari Prasad
Vineet Kumar Rawat	BOT	Vineet Kumar Rawat
Vineet Meshram	BOT	Vineet Meshram
Vineeta Srivastava	BOT	Vineeta Srivastava
Vineeta Tewari	BOT	Vineeta Tewari
Vinicius Araújo Bertaco	ZOO	Vinicius Araújo Bertaco	Bertaco
Vinicius Castro Souza	BOT	Vinicius Castro Souza
Vinicius Messas Cotarelli	BOT	Vinicius Messas Cotarelli
Vinicius R. Bueno	BOT	Vinicius R. Bueno
Vinisa Saynes	BOT	Vinisa Saynes
Vinita Gowda	BOT	Vinita Gowda
Vinko Strgar	BOT	Vinko Strgar
Vinnie A. Pease	BOT	Vinnie A. Pease
Vinod B. Shimpale	BOT	Vinod B. Shimpale
Vinod Chandra	BOT	Vinod Chandra
Vinod K. Laloraya	BOT	Vinod K. Laloraya
Vinod K. Sehgal	ZOO	Vinod K. Sehgal	Sehgal
Vinod Maina	BOT	Vinod Maina
Vinson P. Doyle	BOT	Vinson P. Doyle
Vinzenz Maria Gredler	ZOO	Vinzenz Maria Gredler	Gredler
Vinícius Antonio de Oliveira Dittrich	BOT	Vinícius Antonio de Oliveira Dittrich
Vinícius Trettel Rodrigues	BOT	Vinícius Trettel Rodrigues
Violet C.E. Kennelly	BOT	Violet C.E. Kennelly
Violeta Fakirova	BOT	Violeta Fakirova
Violeta I. Simón-Porcar	BOT	Violeta I. Simón-Porcar
Viorel Dumitru Gavril	ZOO	Viorel Dumitru Gavril	Gavril
Viorel Severin	BOT	Viorel Severin
Viorel Soran	BOT	Viorel Soran
Viorica C. Iacob	BOT	Viorica C. Iacob
Vipin Parkash	BOT	Vipin Parkash
Virendra Kumar Tiwari	BOT	Virendra Kumar Tiwari
Virendra Nath	BOT	Virendra Nath
Virgil Dale Wiggins	BOT	Virgil Dale Wiggins
Virgilio Liverani	BOT	Virgilio Liverani
Virginia de García	BOT	Virginia de García
Virginia Evenson	BOT	Virginia Evenson
Virginia Garland Ballen	BOT	Virginia Garland Ballen
Virginia Guess	BOT	Virginia Guess
Virginia L. Wells	BOT	Virginia L. Wells
Virginia León-Règagnon	ZOO	Virginia León-Règagnon	León-Règagnon
Virginia Lo Russo	ZOO	Virginia Lo Russo	Lo Russo
Virginia Long Bailey	BOT	Virginia Long Bailey
Virginia Medeiros de Siqueira	BOT	Virginia Medeiros de Siqueira
Virginia Phiri	BOT	Virginia Phiri
Virginia Ramírez-Cruz	BOT	Virginia Ramírez-Cruz
Virginia Sager Spevak	BOT	Virginia Sager Spevak
Virginia Schmitt Bryan	BOT	Virginia Schmitt Bryan
Virginia T. Salzman	BOT	Virginia T. Salzman
Virginia Valcárcel	BOT	Virginia Valcárcel
Virginia Yanina Mogni	BOT	Virginia Yanina Mogni
Virginie Hutsemékers	BOT	Virginie Hutsemékers
Virginijus Sruoga	ZOO	Virginijus Sruoga	Sruoga
Virginius Elholm Brown	BOT	Virginius Elholm Brown
Virima Mudogo	BOT	Virima Mudogo
Virinder Kumar Walia	ZOO	Virinder Kumar Walia	Walia
Virupakshagouda Bhimanagouda Hosagoudar	BOT	Virupakshagouda Bhimanagouda Hosagoudar
Vishwa Dhar	BOT	Vishwa Dhar
Vishwanath Mudgal	BOT	Vishwanath Mudgal
Visitación Conforti	BOT	Visitación Conforti
Visuvasam Sosai Manickam	BOT	Visuvasam Sosai Manickam
Viswajyothi Keezhpattillam	ZOO	Viswajyothi Keezhpattillam	Viswajyothi
Vit Hubka	BOT	Vit Hubka
Vital Bavoux	BOT	Vital Bavoux
Vitali Iwanowicz Kreczetowicz	BOT	Vitali Iwanowicz Kreczetowicz
Vitaliano Donati	BOT	Vitaliano Donati
Vitaliano Gulli	BOT	Vitaliano Gulli
Vitalii Cheslavovich Dorogostaisky	BOT	Vitalii Cheslavovich Dorogostaisky
Vitaliy Dirsh	ZOO	Vitaliy Dirsh	Dirsh
Vitaliy Iustynovych Pinchuk	ZOO	Vitaliy Iustynovych Pinchuk	Pinchuk
Vitaliy M. Klymenko	BOT	Vitaliy M. Klymenko
Vitaly Goloskokov	BOT	Vitaly Goloskokov
Vithya Srimanobhas	BOT	Vithya Srimanobhas
Vito Antonio Romano	BOT	Vito Antonio Romano
Vito Beltrani	BOT	Vito Beltrani
Vito Mario Granito	BOT	Vito Mario Granito
Vito Zanon	BOT	Vito Zanon
Vitor Da Cunha Manhães	BOT	Vitor Da Cunha Manhães
Vitor Fernandes Oliveira de Miranda	BOT	Vitor Fernandes Oliveira de Miranda
Vitor Hugo Maia	BOT	Vitor Hugo Maia
Vitor Osmar Becker	ZOO	Vitor Osmar Becker
Vittoria Armenise-Porcelli	BOT	Vittoria Armenise-Porcelli
Vittoria Cristina Bertolini	BOT	Vittoria Cristina Bertolini
Vittorio Boscaro	BOT	Vittorio Boscaro
Vittorio Camarrone	BOT	Vittorio Camarrone
Vittorio Marchesoni	BOT	Vittorio Marchesoni
Vittorio Mazzucchelli	BOT	Vittorio Mazzucchelli
Vittorio Peglion	BOT	Vittorio Peglion
Vittorio Picco	BOT	Vittorio Picco
Vittorio Restelli	BOT	Vittorio Restelli
Vitus Grummann	BOT	Vitus Grummann
Vivek Kumar Pal	BOT	Vivek Kumar Pal
Vivi Laurent-Täckholm	BOT	Vivi Laurent-Täckholm
Vivian C. Trevine	ZOO	Vivian C. Trevine	Trevine
Vivian Frederick Maynard FitzSimons	ZOO	Vivian Frederick Maynard FitzSimons	FitzSimons
Vivian Kathambi	BOT	Vivian Kathambi
Vivian Negrón-Ortiz	BOT	Vivian Negrón-Ortiz
Vivian Oliveira Amorim	BOT	Vivian Oliveira Amorim
Vivian Rose Brownell	BOT	Vivian Rose Brownell
Vivian Rose Catling	BOT	Vivian Rose Catling
Viviana A. Barrera	BOT	Viviana A. Barrera
Viviana Hechem	BOT	Viviana Hechem
Viviana Mazzoncini	BOT	Viviana Mazzoncini
Viviana Motato-Vásquez	BOT	Viviana Motato-Vásquez
Viviana Peña Freire	BOT	Viviana Peña Freire
Viviana Rivera-Varas	BOT	Viviana Rivera-Varas
Viviane Monique dos Santos	BOT	Viviane Monique dos Santos
Viviane Renata Scalon	BOT	Viviane Renata Scalon
Vivianne Solís-Weiss	ZOO	Vivianne Solís-Weiss	Solís-Weiss
Vivienne Cassie Cooper	BOT	Vivienne Cassie Cooper
Vivienne Dring	BOT	Vivienne Dring
Vivienne J. Cox	BOT	Vivienne J. Cox
Vivienne Spadaro	BOT	Vivienne Spadaro
Vladilen Makarov	BOT	Vladilen Makarov
Vladimir A. Lukhtanov	ZOO	Vladimir A. Lukhtanov
Vladimir A. Pletnev	ZOO	Vladimir A. Pletnev	Pletnev
Vladimir Aggeenko	BOT	Vladimir Aggeenko
Vladimir Aleksandrovich Agafonov	BOT	Vladimir Aleksandrovich Agafonov
Vladimir Alekseevich Rybin	BOT	Vladimir Alekseevich Rybin
Vladimir Alexandrovich Kusnezov	BOT	Vladimir Alexandrovich Kusnezov
Vladimir Amalitsky	ZOO	Vladimir Amalitsky	Amalitski
Vladimir Anatolievich Ananiev	BOT	Vladimir Anatolievich Ananiev
Vladimir Andreevich Tikhomirov	BOT	Vladimir Andreevich Tikhomirov
Vladimir Andreevich Tranzschel	BOT	Vladimir Andreevich Tranzschel
Vladimir Andreyev	BOT	Vladimir Andreyev
Vladimir Arnoldi	BOT	Vladimir Arnoldi
Vladimir Artsikhovski	BOT	Vladimir Artsikhovski
Vladimir Baranov	BOT	Vladimir Baranov
Vladimir Bogachev	BOT	Vladimir Bogachev
Vladimir Dmitrievich Kobyljanskij	BOT	Vladimir Dmitrievich Kobyljanskij
Vladimir Dmitrievich Laskarev	BOT	Vladimir Dmitrievich Laskarev
Vladimir Dorofeev	BOT	Vladimir Dorofeev
Vladimir Dubatolov	ZOO	Vladimir Dubatolov	Dubatolov
Vladimir Dubyansky	BOT	Vladimir Dubyansky
Vladimir Ernstovich Fedosov	BOT	Vladimir Ernstovich Fedosov
Vladimir F. Pšelincev	BOT	Vladimir F. Pšelincev
Vladimir Feofilaktovich Vassiljev	BOT	Vladimir Feofilaktovich Vassiljev
Vladimir G. Mironov	ZOO	Vladimir G. Mironov
Vladimir Gavrilovich Papchenkov	BOT	Vladimir Gavrilovich Papchenkov
Vladimir Gdalich Dolin	ZOO	Vladimir Gdalich Dolin	Dolin
Vladimir Gennadievich Khrzhanovski	BOT	Vladimir Gennadievich Khrzhanovski
Vladimir Gennadievich Luzhanin	BOT	Vladimir Gennadievich Luzhanin
Vladimir Grigorievich Ostroumov	BOT	Vladimir Grigorievich Ostroumov
Vladimir I. Biserov	ZOO	Vladimir I. Biserov	Biserov
Vladimir I. Ovtsharenko	ZOO	Vladimir I. Ovtsharenko	Ovtsharenko
Vladimir I. Poljansky	BOT	Vladimir I. Poljansky
Vladimir I. Vladimirov	BOT	Vladimir I. Vladimirov
Vladimir Ilich Kudryavtsev	BOT	Vladimir Ilich Kudryavtsev
Vladimir Ivanovich Chopik	BOT	Vladimir Ivanovich Chopik
Vladimir Ivanovich Dolgoff	BOT	Vladimir Ivanovich Dolgoff
Vladimir Ivanovich Dorofeev	BOT	Vladimir Ivanovich Dorofeev
Vladimir Ivanovitsch Kuznetzov	ZOO	Vladimir Ivanovitsch Kuznetzov
Vladimir Ječmenica	BOT	Vladimir Ječmenica
